New Variable Categories,New Variable Subject,Unique,Variable Tables,Variable Subject,Collapse Category,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Trip Information,Mode,In 4 Surveys,Person-Level,School-related,Leg-Mode,Smartphone Pilot,mode_to_school,Mode to school,school_mode_primary | school_mode_auto | school_mode_bus |school_mode_rail | school_mode_ferry | school_mode_taxi | school_mode_bike | school_mode_other | school_mode_school_bus | school_mode_walk | school_mode_own | school_mode_micromobility,"Primary school mode | School mode: Other vehicle (e.g., friend’s car, rental, carshare, work car) | School mode: Bus, shuttle, or vanpool | School mode: Rail (e.g., train, subway) | School mode: Ferry | School mode: Uber/Lyft, taxi, or car service | School mode: Bicycle or e-bicycle | School mode: Micromobility (e.g., scooter, moped, skateboard) | School mode: School bus | School mode: Walk (or jog/wheelchair) | School mode: Household vehicle (or motorcycle) | School mode: Other",,1,,,,,"school_mode | 
school_mode_auto | 
school_mode_bus | 
school_mode_rail | 
school_mode_ferry | 
school_mode_taxi | 
school_mode_bike | 
school_mode_scooter | 
school_mode_own |
school_access |
school_egress |","Typical mode to school | 
Other vehicle typically taken to and from school | 
Bus typically taken to and from school | 
Train/rail typically taken to and from school | 
Ferry typically taken to and from school | 
Taxi or ride service typically taken to and from school | 
Bicycle typically taken to and from school | 
Moped or scooter typically taken to and from school | 
Household vehicle typically taken to and from school | 
School access mode |
School egress mode |",,1,,,,"SCHTRN1 |
SCHTRN2 |","Mode to School |
Mode from School",,1,,,SMODE | O_SMODE,"Mode of Transport to School | Other, Mode of Transport to School",,1,,,,,,
Trip Information,Mode,In 4 Surveys,Trip-Level,General trip characteristics,Leg-Mode,Smartphone Pilot,trip_mode,Trip mode type,"mode_type |
mode_1 |
mode_2 |
mode_3 |
mode_4 |
mode_other_specify","Trip mode type |
Trip mode 1 |
Trip mode 2 |
Trip mode 3 |
Trip mode 4 |
Trip mode, other specify |",,,,,,1,"mode_type |
mode_type_detailed |
mode_1 |
mode_2 |
mode_3 |
mode_4","Mode type (If participant selected multiple modes for the trip, this is the primary mode used, grouped into mode categories) |
Detailed mode type (If participant selected multiple modes for the trip, this is the primary mode used) |
1st of modes selected |
2nd of modes selected |
3rd of modes selected |
4th of modes selected |",,,,,1,TRPTRANS,"Trip Mode, derived",,,,1,"MODE | 
O_MODE |
ULTMODE |
MODEOUT |
MODEINB |
TOURMODE |
OB_LMODE |
IB_LMODE |","Transportation Mode | 
Other, Transportation Mode |
Unlinked Trip Mode |
Mode for Outbound Leg |
Mode for Inbound Leg |
Tour Mode |
Mode for Outbound Leg |
Mode for Inbound Leg |",,,,1,,,,
Trip Information,Mode,In 2 Surveys,Trip-Level,Vehicle-related,Leg-Mode,NHTS,TRPHHVEH,Household Vehicle Used on Trip,,,,,,,,,,,,,,,,TRPHHVEH,Household Vehicle Used on Trip,,,,1,CNTV,Vehicle Used,,,,1,,,,
Trip Information,Mode,In 2 Surveys,Trip-Level,Bike-related,Leg-Mode,Smartphone Pilot,bikeshare_service,Bikeshare services used,"bikeshare_citi_bike |
bikeshare_jump |
bikeshare_lime |
bikeshare_none","Bikeshare services used: Citi Bike |
Bikeshare services used: Jump |
Bikeshare services used: Lime |
Bikeshare services used: None",,1,,,,,bike_share_citi_bike,Has ever used a bikeshare service: Citi Bike,,1,,,,,,,,,,,,,,,,,,,
Trip Information,Travelers,NHTS,Trip-Level,General trip characteristics,Leg-Mode,NHTS,HHMEMDRV,Household member drove on trip,,,,,,,,,,,,,,,,HHMEMDRV,Household member drove on trip,,,,1,,,,,,,,,,
Trip Information,Network Attribute,NHTS,Trip-Level,General trip characteristics,Leg-Mode,NHTS,NUMTRANS,Count of Transfers,,,,,,,,,,,,,,,,NUMTRANS,Count of Transfers,,,,1,,,,,,,,,,
Trip Information,Mode,NHTS,Trip-Level,Transit-related,Leg-Mode,NHTS,TRACCMODE,Mode used to get to public transit?,,,,,,,,,,,,,,,,"TRACC_BUS |
TRACC_CRL |
TRACC_OTH |
TRACC_POV |
TRACC_SUB |
TRACC_WLK |
TREGR_BUS |
TREGR_CRL |
TREGR_OTH |
TREGR_POV |
TREGR_SUB |
TREGR_WLK","Bus as mode used to get to public transit? |
Rail as mode used to get to public transit? |
Other mode used to get to public transit? |
POV as mode used to get to public transit? |
Subway as mode used to get to public transit? |
Walk as mode used to get to public transit? |
Bus as mode used to get from public transit? |
Rail as mode used to get from public transit? |
Other mode used to get from public transit? |
POV as mode used to get from public transit? |
Subway as mode used to get from public transit? |
Walk as mode used to get from public transit? |",,,,1,,,,,,,,,,
Trip Information,Tour/Day Information,NHTS,Person-Level,Transit-related,Leg-Mode,NHTS,USEPUBTR,"Public Transit Usage on Travel Date, derived",,,,,,,,,,,,,,,,USEPUBTR,"Public Transit Usage on Travel Date, derived",,1,,,,,,,,,,,,
Survey ID/Flag,ID,In 2 Surveys,Trip-Level,General trip characteristics,Leg-Purpose,NHTS,WHYTRP1S,Trip purpose summary,,,,,,,,,,,,,,,,WHYTRP1S,Trip purpose summary,,,,1,OTPURP,Origin Primary Trip Purpose [RETR],,,,,2,2,,
Trip Information,Purpose,NHTS,Trip-Level,General trip characteristics,Leg-Purpose,NHTS,WHYTRP90,Travel day trip purpose consistent with 1990 NPTS design.,,,,,,,,,,,,,,,,WHYTRP90,Travel day trip purpose consistent with 1990 NPTS design.,,,,1,,,,,,,,,,
Survey ID/Flag,ID,In 3 Surveys,Trip-Level,Survey-related,Leg-stop,Smartphone Pilot,trip_id,Trip ID,trip_id,Trip ID,,,,,1,,trip_id,Trip ID,,,,,1,TDCASEID,Unique identifier for every trip record in the file,,,,1,,,,,,,,,,
Trip Information,Tour/Day Information,In 3 Surveys,Trip-Level,Survey-related,Leg-stop,Smartphone Pilot,trip_num,Trip number within travel period,trip_num,Trip number within travel period,,,,,1,,trip_num,Trip number,,,,,1,TDTRPNUM,"Incrementing travel day trip number, starting at 1 for each person in the file",,,,1,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Trip-Level,Survey-related,Leg-stop,Smartphone Pilot,trip_survey_complete,Trip survey is complete,trip_survey_complete,Trip survey is complete,,,,,1,,survey_complete,Trip survey completion status,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Trip-Level,Survey-related,Leg-stop,Smartphone Pilot,unlinked_split,Trip is unlinked,unlinked_split,Trip is unlinked,,,,,1,,unlinked_trip,Trip was unlinked in data processing ,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Trip-Level,Survey-related,Leg-stop,Smartphone Pilot,linked_trip_id,Trip ID for linked trip,linked_trip_id,Trip ID for linked trip,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Trip-Level,Survey-related,Leg-stop,Smartphone Pilot,leg_num,Leg number along linked trip,leg_num,Leg number along linked trip,,,,,1,,leg_num,Trip leg number,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Route/Path,Smartphone Pilot,Trip-Level,General trip characteristics,Leg-stop,Smartphone Pilot,is_egress,Trip flagged as access leg,is_egress,Trip flagged as access leg,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Route/Path,Smartphone Pilot,Trip-Level,General trip characteristics,Leg-stop,Smartphone Pilot,is_access,Trip flagged as egress leg ,is_access,Trip flagged as egress leg ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Trip-Level,General trip characteristics,Leg-stop,Smartphone Pilot,micromobility_park_location,Micromobility device park location,micromobility_park_location,Micromobility device park location,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Stops,NHTS,Trip-Level,General trip characteristics,Leg-stop,NHTS,DROP_PRK,Parked or Dropped Off at Station,,,,,,,,,,,,,,,,DROP_PRK,Parked or Dropped Off at Station,,,,1,,,,,,,,,,
Trip Information,Stops,RHTS,Trip-Level,General trip characteristics,Leg-stop,RHTS,ESCORT_LSTOPS,# Escorting_Non_Escorting Stops on OB-IB leg,,,,,,,,,,,,,,,,,,,,,,"OB_LSTOPS |
OB_LESCORT |
IB_LSTOPS |
IB_LESCORT |","# Non_Escorting Stops on OB leg |
#Escorting Stops on OB leg |
# Non_Escorting  on IB leg |
#Escorting Stops on IB leg |",,,,,,,1,1
Trip Information,Travelers,In 4 Surveys,Trip-Level,General trip characteristics,Leg-Travelers,Smartphone Pilot,num_hh_travelers,Number of household member travelers,num_hh_travelers,Number of household member travelers,,,,,,1,num_hh_travelers,Number of household members on trip,,,,,1,HH_ONTD,Number of household members on trip including respondent,,,,1,HHMEM,Number of HH Members traveling with,,,,1,1,1,,
Trip Information,Travelers,In 4 Surveys,Trip-Level,General trip characteristics,Leg-Travelers,Smartphone Pilot,num_non_hh_travelers,Number of non-household member travelers,num_non_hh_travelers,Number of non-household member travelers,,,,,,1,num_non_hh_travelers,Number of non-household members on trip,,,,,1,NONHHCNT,Number of non-household members on trip,,,,1,NONHH,Number of Non-HH Members in group,,,,1,1,1,,
Trip Information,Travelers,In 3 Surveys,Trip-Level,General trip characteristics,Leg-Travelers,Smartphone Pilot,driver,Driver or passenger on trip,driver,Driver or passenger on trip,,,,,,1,driver,Driver or passenger on trip,,,,,1,WHOMAIN,Vehicle Main Driver,,,1,,,,,,,,,,,
Trip Information,Travelers,In 4 Surveys,Trip-Level,General trip characteristics,Leg-Travelers,Smartphone Pilot,num_travelers,Number of travelers,num_travelers,Number of travelers,,,,,1,,num_travelers,Number of people in travel party,,,,,1,"NUMONTRP, TRPACCMP, TRPHHACC","Number of people on trip including respondent, Count of People on Trip, Count of Household Members on Trip",,,,1,TOTTR, Total Number of Persons on the Trip,,,,,1,1,1,1
Demographics,Employment,In 4 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,num_workers,Number of workers in household,num_workers,Number of workers in household,1,,,,,,num_workers,Number of workers in household,1,,,,,WRKCOUNT,Number of workers in household,1,1,1,1,HHWRK,Number of Household Workers (Computed),1,,,,,,,
Survey ID/Flag,ID,In 2 Surveys,Person-Level,Identifier,,Smartphone Pilot,person_num,Person number within household,person_num,Person number within household,,1,,1,1,,person_num,Person number in household,,1,,1,1,,,,,,,,,,,,,,,,
Trip Information,Travelers,In 4 Surveys,Trip-Level,General trip characteristics,Leg-Travelers,Smartphone Pilot,hh_member_on_trip,HH Member was on trip,"hh_member_1 |
hh_member_2 |
hh_member_3 |
hh_member_4 |
hh_member_5 |
hh_member_6 |
hh_member_7","Member 1 was on trip |
Member 2 was on trip |
Member 3 was on trip |
Member 4 was on trip |
Member 5 was on trip |
Member 6 was on trip |
Member 7 was on trip",,,,,1,,"hh_member_1 |
hh_member_2 |
hh_member_3 |
hh_member_4 |
hh_member_5 |
hh_member_6 |
hh_member_7 |
hh_member_8 |
hh_member_9 |
hh_member_10 |
hh_member_11 ","Member 1 was on trip |
Member 2 was on trip |
Member 3 was on trip |
Member 4 was on trip |
Member 5 was on trip |
Member 6 was on trip |
Member 7 was on trip |
Member 8 was on trip |
Member 9 was on trip |
Member 10 was on trip |
Member 11 was on trip",,,,,1,"ONTD_P1 |
ONTD_P2 |
ONTD_P3 |
ONTD_P4 |
ONTD_P5 |
ONTD_P6 |
ONTD_P7 |
ONTD_P8 |
ONTD_P9 |
ONTD_P10 |
ONTD_P11 |
ONTD_P12 |
ONTD_P13 |","Household Person Identifier on Trip: 1 |
Household Person Identifier on Trip: 2 |
Household Person Identifier on Trip: 3 |
Household Person Identifier on Trip: 4 |
Household Person Identifier on Trip: 5 |
Household Person Identifier on Trip: 6 |
Household Person Identifier on Trip: 7 |
Household Person Identifier on Trip: 8 |
Household Person Identifier on Trip: 9 |
Household Person Identifier on Trip: 10 |
Household Person Identifier on Trip: 11 |
Household Person Identifier on Trip: 12 |
Household Person Identifier on Trip: 13 |",,,,1,"PER1 |
PER2 |
PER3 |
PER4 |
PER5 ","Person Number on Trip |
Person Number on Trip |
Person Number on Trip |
Person Number on Trip |
Person Number on Trip",,,,1,2,2,,
Trip Information,Mode,NHTS,Trip-Level,Person characteristics,Leg-Travelers,NHTS,DRIVER,"Driver status, derived",,,,,,,,,,,,,,,,DRIVER,"Driver status, derived",,1,,1,,,,,,,,,,
Trip Information,Mode,NHTS,Trip-Level,General trip characteristics,Leg-Travelers,NHTS,DRVR_FLG,Respondent drove on trip,,,,,,,,,,,,,,,,DRVR_FLG,Respondent drove on trip,,,,1,,,,,,,,,,
Trip Information,Travelers,NHTS,Trip-Level,Identifier,Leg-Travelers,NHTS,WHODROVE,Person Identifier Who Drove on Trip,,,,,,,,,,,,,,,,WHODROVE,Person Identifier Who Drove on Trip,,,,1,,,,,,,,,,
Survey ID/Flag,ID,NHTS,Person-Level,Identifier,Leg-Travelers,NHTS,WHOPROXY,Household Person Identifier Responsible for Trip Reporting,,,,,,,,,,,,,,,,WHOPROXY,Household Person Identifier Responsible for Trip Reporting,,1,,,,,,,,,,,,
Trip Information,Stops,RHTS,Trip-Level,General trip characteristics,Location unspecified,RHTS,ADJ_COUNTY,Adjacent County flags,,,,,,,,,,,,,,,,,,,,,,ADJ_COUNTY,Adjacent County flags,,,,,1,1,1,1
Trip Information,Tour/Day Information,In 3 Surveys,Day-Level,General day characteristics,Origin location,Smartphone Pilot,begin_day,Day begin location,begin_day,Day begin location,,,,,,1,,,,,,,,FRSTHM17,Travel day began at home location,,1,,,,,,,,,,,,
Trip Information,Origin,Smartphone Pilot,Trip-Level,General trip characteristics,Origin Location,Smartphone Pilot,o_lat,Origin latitude,"o_lat |
o_lon |
o_bg |
o_county |
o_state |
o_puma |
o_in_region |","Origin latitude |
Origin longitude |
Origin block group |
Origin county (fips code) |
Origin state (fips code) |
Origin Public Use Microdata Area (PUMA) |
Origin in study region |",,,,,1,,"o_cms_zone |
o_location_type |
o_congestion |","Origin CMS zone |
Imputed location type for trip origin |
Did the trip start in the congestion pricing zone south of 60th Street in Manhattan? |",,,,,1,,,,,,,"
ORIG_HOME |
OTAZ |
OXCORD |
OYCORD |
OTRACT |
OMCD |
OZIP |
ONYC |
OMPO |
HSTART |
GEO_GROUP1_O |
GEO_GROUP2_O |
GEO_GROUP3_O |
OCOUNTY |","
1 If Home is origin |
Origin TAZ (WGS84) |
Origin Geocoded Longitude (in WGS 84) |
Origin Geocoded Latitude (in WGS 84) |
Origin Tract 2010 (WGS84) |
Origin MCD |
Origin Zip |
1 if Origin is in NYC |
Origin MPO |
1 if Tour Started at Home |
Geo group 1 for origin |
Geo group 2 for origin |
Geo group 3 for origin |
Origin County |",1,,,1,1,1,1,1
Trip Information,Route/Path,Smartphone Pilot,Trip-Level,General trip characteristics,Origin Location,Smartphone Pilot,google_boarding_station,Google suggested boarding station,google_boarding_station,Google suggested boarding station,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Destination,NHTS,Trip-Level,General trip characteristics,Origin Location,NHTS,LOOP_TRIP,Trip origin and destination at identical location,,,,,,,,,,,,,,,,LOOP_TRIP,Trip origin and destination at identical location,,,,1,,,,,,,,,,
Trip Information,Origin,NHTS,Trip-Level,General trip characteristics,Origin Location,NHTS,OBHTNRNT,Category of the percent of renter-occupied housing in the census block group of the trip origin's location,,,,,,,,,,,,,,,,"OBHTNRNT |
OBHUR |
OBPPOPDN |
OBRESDN |
OTEEMPDN |
OTHTNRNT |
OTPPOPDN |
OTRESDN |","Category of the percent of renter-occupied housing in the census block group of the trip origin's location |
Urban / Rural indicator - Trip Origin Block group |
Category of population density (persons per square mile) in the census block group of the trip origin's location |
Category of housing units per square mile in the census block group of the trip origin's location |
Category of workers per square mile in the census tract of the trip origin's location |
Category of the percent of renter-occupied housing in the census tract of the trip origin's location |
Category of population density (persons per square mile) in the census tract of the trip origin's location |
Category of housing units per square mile in the census tract of the trip origin's location |",,,,1,,,,,,,,,,
Trip Information,Origin,In 3 Surveys,Trip-Level,General trip characteristics,Origin Purpose,Smartphone Pilot,o_purpose,Origin purpose,"o_purpose |
o_purpose_category |","Origin purpose |
Origin purpose category",,,,,1,,"o_purpose |
o_purpose_category |
o_purpose_imputed |
o_purpose_category_imputed |","Origin purpose (recommend using imputed purpose) |
Origin purpose category (recommend using imputed purpose) |
Imputed activity at trip origin (recommend using this version of origin trip purpose) |
Imputed category of activity at trip origin (recommend using this version of origin trip purpose category) |",,,,,1,WHYFROM,Trip Origin Purpose,,,,1,OTPURP_AGG,Origin Purpose (Aggregate),,,,,1,1,,
Locations,Parking,NYCDOT Mobility Survery,Person-Level,School-related,Park Cost,NYCDOT Mobility Survery,school_park_amount_day | school_park_amount_month | school_park_amount_week | school_park_amount_year,Amount paid to park at school per day | Amount paid to park at school per week | Amount paid to park at school per month | Amount paid to park at school per year,,,,,,,,,school_park_amount_day | school_park_amount_month | school_park_amount_week | school_park_amount_year,Amount paid to park at school per day | Amount paid to park at school per week | Amount paid to park at school per month | Amount paid to park at school per year,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,In 2 Surveys,Vehicle-Level,Parking-related,Park Cost,NYCDOT Mobility Survery,park_cost,Cost of Parking,,,,,,,,,park_cost,Cost of Parking,,,,,1,,,,,,,PKAMT,Pay to Park Amount,,,,1,1,1,,
Locations,Parking,In 2 Surveys,Vehicle-Level,Parking-related,Park Cost,Smartphone Pilot,home_park_cost,"Cost to park vehicle at home |
Amount paid to park vehicle at home per day |
Amount paid to park vehicle at home per week |
Amount paid to park vehicle at home per month |
Amount paid to park vehicle at home per year","home_park_cost |
home_park_amount_day |
home_park_amount_week |
home_park_amount_month |
home_park_amount_year","Cost to park vehicle at home |
Amount paid to park vehicle at home per day |
Amount paid to park vehicle at home per week |
Amount paid to park vehicle at home per month |
Amount paid to park vehicle at home per year",,,1,,,1,"home_park_amount_day |
home_park_amount_month |
home_park_amount_week |
home_park_amount_year","Home parking permit/pass payment amount per day |
Home parking permit/pass payment amount per month |
Home parking permit/pass payment amount per week |
Home parking permit/pass payment amount per year",,,1,,1,,,,,,,,,,,,1,1,1,,
Locations,Parking,Smartphone Pilot,Trip-Level,Vehicle-related,Park Cost,Smartphone Pilot,park_type,Vehicle parking payment method,park_type,Vehicle parking payment method,,,1,,,1,park_pay,How the respondent paid for parking,,,1,,1,,,,,,,,,,,,,,,,
Locations,Parking,In 2 Surveys,Person-Level,Work-related,Park Cost,Smartphone Pilot,work_park_pay,Payment method for parking vehicle at work,work_park_pay,Payment method for parking vehicle at work,,1,,,,,work_park_pay,Typical way of paying for parking at work,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,In 2 Surveys,Person-Level,Work-related,Park Cost,Smartphone Pilot,work_park_cost,Cost to park vehicle at work,"work_park_cost |
work_park_amount_day |
work_park_amount_week |
work_park_amount_month |
work_park_amount_year","Cost to park vehicle at work |
Amount paid to park vehicle at work per day |
Amount paid to park vehicle at work per week |
Amount paid to park vehicle at work per month |
Amount paid to park vehicle at work per year",,1,,,,,"work_park_amount_day |
work_park_amount_week |
work_park_amount_month |
work_park_amount_year","Amount paid to park at work per day |
Amount paid to park at work per week |
Amount paid to park at work per month |
Amount paid to park at work per year",,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,In 3 Surveys,Vehicle-Level,Parking-related,Park location,Smartphone Pilot,home_park_pay,Pays to park vehicle at home,home_park_pay,Pays to park vehicle at home,,,1,,,,,,,,,,,,,,,,,PAYPK,Pay to Park,,,,1,,,,
Locations,Parking,In 3 Surveys,Vehicle-Level,Parking-related,Park location,Smartphone Pilot,park_location,Vehicle Parking Location,park_location,Vehicle Parking Location,,,1,,,,park_location,Vehicle parking location,,,,1,,,,,,,,"PRKTY | 
O_PRKTY | 
PLOC |
PXSTR |","Parking Description | 
Other, Parking Description | 
Vehicle Park Location |
Parking Cross Streets |",,,,1,1,1,,
Locations,Parking,Smartphone Pilot,Person-Level,Work-related,Park location,Smartphone Pilot,work_park_location,Parking location at work once COVID-19 measures have ended,work_park_location,Parking location at work once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NYCDOT Mobility Survery,home_park,Vehicle Parking Location at Home,,,,,,,,,home_park,Parking location at home,,,1,,,,,,,,,,,,,,,,,,
Locations,Parking,NYCDOT Mobility Survery,Vehicle-Level,Parking-related,Park location,NYCDOT Mobility Survery,work_park_location,Vehicle parking location at work,,,,,,,,,work_park_location,Vehicle parking location at work,,1,,,,,,,,,,,,,,,1,,,,
Locations,Parking,NYCDOT Mobility Survery,Person-Level,School-related,Park location,NYCDOT Mobility Survery,school_scooter_park,Moped or scooter parking location at school,,,,,,,,,school_scooter_park,Moped or scooter parking location at school,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,NYCDOT Mobility Survery,Person-Level,School-related,Park location,NYCDOT Mobility Survery,school_park_location,Vehicle parking location at school,,,,,,,,,school_park_location,Vehicle parking location at school,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Vehicle-Level,Vehicle-related,Park location,Smartphone Pilot,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Trip-Level,Vehicle-related,Park location,Smartphone Pilot,ev_charge_station,Electric vehicle charging station at destination,ev_charge_station,Electric vehicle charging station at destination,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Trip-Level,Vehicle-related,Park location,Smartphone Pilot,ev_charge_station_level,Charging station level,ev_charge_station_level,Charging station level,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Stops,Smartphone Pilot,Trip-Level,Vehicle-related,Park location,Smartphone Pilot,ev_charge_station_decision,Decided to stop at destination because there were electric vehicle charging stations,ev_charge_station_decision,Decided to stop at destination because there were electric vehicle charging stations,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Locations,Parking,In 2 Surveys,Trip-Level,Bike-related,Park location,Smartphone Pilot,bike_park_location,Bike park location,bike_park_location,Bike park location,,,,,1,,bike_park_location,Bicycle parking location,,,,,1,,,,,,,,,,,,,,,,
Locations,Parking,NYCDOT Mobility Survery,Trip-Level,Micromobility-related,Park location,NYCDOT Mobility Survery,scooter_park_location,Moped or scooter parking location at school,,,,,,,,,scooter_park_location,Moped or scooter parking location at school,,,,,1,,,,,,,,,,,,,,,,
Locations,Parking,NYCDOT Mobility Survery,Person-Level,Parking-related,Park location,NYCDOT Mobility Survery,work_vehicle_pass_period,Work vehicle parking pass period,,,,,,,,,work_vehicle_pass_period,Work vehicle parking pass period,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,NYCDOT Mobility Survery,Person-Level,Parking-related,Park location,NYCDOT Mobility Survery,work_scooter_park,Moped or scooter parking location at work,,,,,,,,,work_scooter_park,Moped or scooter parking location at work,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,NYCDOT Mobility Survery,Person-Level,Parking-related,Park location,NYCDOT Mobility Survery,school_bike_park,Bicycle parking location at school,,,,,,,,,school_bike_park,Bicycle parking location at school,,1,,,,,,,,,,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Vehicle-Level,Vehicle-related,Park location,Smartphone Pilot,ev_typical_charge,Typical Charge location in the last 3 months,"ev_typical_charge_home |
ev_typical_charge_work |
ev_typical_charge_commute |
ev_typical_charge_shopping |
ev_typical_charge_public |
ev_typical_charge_hotel |
ev_typical_charge_other","Typical charge location in the last 3 months: At or near home |
Typical charge location in the last 3 months: At work |
Typical charge location in the last 3 months: At a commute location (e.g., Park and Ride lot, parking garage) |
Typical charge location in the last 3 months: At a shopping location (e.g., grocery store, shopping mall) |
Typical charge location in the last 3 months: At a public location (e.g., hospital, library, government building) |
Typical charge location in the last 3 months: At a hotel/inn |
Typical charge location in the last 3 months: Other",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Vehicle-Level,Bike-related,Park location,Smartphone Pilot,bike_store,Bicycle storage location,"bike_store_inside |
bike_store_rack |
bike_store_locker |
bike_store_room |
bike_store_locked |
bike_store_lot |
bike_store_unlocked |
bike_store_other","Bicycle storage location: Inside house/apartment (includes garage, porch, storage area) |
Bicycle storage location: Bike rack |
Bicycle storage location: Bike locker |
Bicycle storage location: Secured bike room |
Bicycle storage location: Locked to other object (e.g., post, tree) |
Bicycle storage location: In a parking garage/lot |
Bicycle storage location: Unlocked on-street |
Bicycle storage location: Other",1,,,,,,"bicycle_store_house |
bicycle_store_rack |
bicycle_store_locker |
bicycle_store_secured_bike_room |
bicycle_store_object |
bicycle_store_garage |
bicycle_store_street |
bicycle_store_other |
bicycle_store_docking_station |","Where bicycle is stored: In my house/apartment (includes garage, porch, storage area) |
Where bicycle is stored: Bike rack |
Where bicycle is stored: Bike locker |
Where bicycle is stored: Secured bike room |
Where bicycle is stored: Locked to other object (e.g., sign post, fence, tree) |
Where bicycle is stored: In a parking garage/lot |
Where bicycle is stored: Unlocked on-street (e.g., dockless) |
Bicycle storage type: Other |
Where bicycle is stored: Bike-share designated docking station |",1,,,,,,,,,,,,,,,,,,,,
Demographics,Race,In 4 Surveys,Person-Level,Person characteristics,Race/Ethnicity,RHTS,race,race of respondent,race_afam | race_american_indian | race_asian | race_native_hawaiian | race_white | race_other | race_other_specify,Race: African American or Black | Race: American Indian or Alaska Native | Race: Asian | Race: Native Hawaiian or other Pacific Islander | Race: White | Race: Other | Race: Specify,,2,,,,,race_american_indian | race_asian | race_black | race_native_hawaiian | race_white | race_other,"Race: American Indian or Alaska Native, Race: Asian, Race: Black or African American, Race: Native Hawaiian or other Pacific Islander, Race: White, Race: other",,2,,,,R_RACE | HH_RACE,Race | Race of household respondent,1,1,1,1,RACE | O_RACE,Race/Ethnicity | Other Race/Ethnicity,,2,,,,,,
Demographics,Ethnicity,In 4 Surveys,Person-Level,Person characteristics,Race/Ethnicity,NHTS,ethnicity,ethnicity of respondent,ethnicity_not_hispanic | ethnicity_mexican | ethnicity_puerto_rican | ethnicity_cuban | ethnicity_other_hispanic | ethnicity_other_specify,"Ethnicity: Not of Hispanic, Latino, or Spanish origin | Ethnicity: Mexican, Mexican American, Chicano | Ethnicity: Puerto Rican, Ethnicity: Cuban | Ethnicity: Another Hispanic, Latino, or Spanish origin | Ethnicity: Specify",,2,,,,,ethnicity,Ethnicity,,2,,,,R_HISP | HH_HISP,Hispanic or Latino Origin | Hispanic status of household respondent,1,1,1,1,HISP,Hispanic Origin,,1,,,,,,
