Variable Categories,Variable Subject,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,year,Vehicle year,year,Vehicle year,,,,,,,year,Model year of vehicle,,,1,,,VEHYEAR,Vehicle Year,,,1,,YEAR,Year of Vehicle,,,1,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,make,Vehicle make,make,Vehicle make,,,,,,,,,,,,,,MAKE | O_MAKE,"Vehicle Make | Other, Make of Vehicle",,,,,MAKE,Make of Vehicle,,,1,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,model,Vehicle Model,model,Vehicle Model,,,,,,,,,,,,,,MODEL,Vehicle Model,,,,,MODEL,Model of Vehicle,,,1,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,fuel_type,Fuel type,fuel_type,Fuel type,,,,,,,,,,,,,,FUELTYPE,Type of Fuel,,,,,FUEL | O_FUEL,"Type of Fuel | Other, Type of Fuel",,,,,,,,
Vehicle-Level,Parking-related,Smartphone Pilot,park_location,Vehicle Parking Location,park_location,Vehicle Parking Location,,,1,,,,home_park,Parking location at home,,,1,,,,,,,,,PRKTY | O_PRKTY | PLOC,"Parking Description | Other, Parking Description | Vehicle Park Location",,,,1,1,1,,
Vehicle-Level,Parking-related,Smartphone Pilot,park_type,Vehicle parking payment method,park_type,Vehicle parking payment method,,,1,,,,park_cost,Cost of Parking,,,,,1,,,,,,,PAYPK,Pay to Park,,,,1,1,1,,
Vehicle-Level,Parking-related,Smartphone Pilot,home_park_cost,Cost to park vehicle at home,home_park_cost,Cost to park vehicle at home,,,1,,,1,park_pay,How the respondent paid for parking,,,,,1,,,,,,,PKAMT,Pay to Park Amount,,,,1,1,1,,
Vehicle-Level,Parking-related,Smartphone Pilot,home_park_pay,Pays to park vehicle at home,home_park_pay,Pays to park vehicle at home,,,,,,,park_location | home_park_amount_day,Vehicle parking location | Home parking permit/pass payment amount per day,,,2,,1,,,,,,,,,,,,1,,,,
Vehicle-Level,Parking-related,NYCDOT Mobility Survery,work_park_location,Vehicle parking location at work,,,,,,,,,work_park_location,Vehicle parking location at work,,1,,,,,,,,,,,,,,,1,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,ev_outlet_share,Shares electric outlet with others who don't live in household,ev_outlet_share,Shares electric outlet with others who don't live in household,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,ev_charge,Electric vehicle(s) in household charged on travel day,ev_charge,Electric vehicle(s) in household charged on travel day,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Day-Level,General day characteristics,Smartphone Pilot,begin_day,Day begin location,begin_day,Day begin location,,,,,,1,o_cms_zone,Origin CMS zone,,,,,1,FRSTHM17,Travel day began at home location,,1,,,,,,,,,,,,
Day-Level,General day characteristics,Smartphone Pilot,end_day,Day end location,end_day,Day end location,,,,,,1,d_cms_zone,Destination CMS zone,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,d_purpose,Destination purpose,d_purpose,Destination purpose,,,,,,1,d_purpose,Destination purpose (recommend using imputed purpose),,,,,1,TRIPPURP,"Generalized purpose of trip, home-based and non-home based",,,,1,TPURP| TPUR2 | O_TPURP,Trip Purpose | Secondary Trip Purpose | Other | Trip Purpose,,,,1,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,mode_type,Trip mode type,mode_type,Trip mode type,,,,,,1,mode_type,"Mode type (If participant selected multiple modes for the trip, this is the primary mode used, grouped into mode categories)",,,,,1,TRPTRANS,"Trip Mode, derived",,,,1,MODE | O_MODE,"Transportation Mode | Other, Transportation Mode",,,,1,,,,
Trip-Level,Survey-related,NYCDOT Mobility Survery,mode_type_detailed,"Detailed mode type (If participant selected multiple modes for the trip, this is the primary mode used)",,,,,,,,,mode_type_detailed,"Detailed mode type (If participant selected multiple modes for the trip, this is the primary mode used)",,,,,1,,,,,,,,,,,,,,,,
Trip-Level,Vehicle-related,NHTS,TRPHHVEH,Household Vehicle Used on Trip,,,,,,,,,,,,,,,,TRPHHVEH,Household Vehicle Used on Trip,,,,1,CNTV,Vehicle Used,,,,1,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,num_hh_travelers,Number of household member travelers,num_hh_travelers,Number of household member travelers,,,,,,1,num_hh_travelers,Number of household members on trip,,,,,1,HH_ONTD,Number of household members on trip including respondent,,,,1,HHMEM,Number of HH Members traveling with,,,,1,1,1,,
Trip-Level,General trip characteristics,Smartphone Pilot,num_non_hh_travelers,Number of non-household member travelers,num_non_hh_travelers,Number of non-household member travelers,,,,,,1,num_non_hh_travelers,Number of non-household members on trip,,,,,1,NONHHCNT,Number of non-household members on trip,,,,1,NONHH,Number of Non-HH Members in group,,,,1,1,1,,
Trip-Level,Vehicle-related,Smartphone Pilot,driver,Driver or passenger on trip,driver,Driver or passenger on trip,,,,,,1,driver,Driver or passenger on trip,,,,,1,WHOMAIN,Vehicle Main Driver,,,1,,,,,,,,,,,
Trip-Level,Vehicle-related,Smartphone Pilot,park_type,Vehicle parking payment method,park_type,Vehicle parking payment method,,,,,,1,park_pay,How the respondent paid for parking,,,,,1,,,,,,,PKAMT,Pay to Park Amount,,,,,,,,
Trip-Level,Vehicle-related,Smartphone Pilot,ev_charge_station,Electric vehicle charging station at destination,ev_charge_station,Electric vehicle charging station at destination,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Vehicle-related,Smartphone Pilot,ev_charge_station_level,Charging station level,ev_charge_station_level,Charging station level,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Vehicle-related,Smartphone Pilot,ev_charge_station_decision,Decided to stop at destination because there were electric vehicle charging stations,ev_charge_station_decision,Decided to stop at destination because there were electric vehicle charging stations,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,tnc_type,Smartphone-app ride service used on trip,tnc_type,Smartphone-app ride service used on trip,,,,,,1,,,,,,,,TAXI,Frequency of Taxi Service or Rideshare Use for Travel,1,,,,,,,,,,,,,
Trip-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,taxi_pay,Taxi fare,taxi_pay,Taxi fare,,,,,,1,taxi_cost,Respondent knows cost of taxi fare,,,,,1,,,,,,,BPFAR,Transit Pass Cost,,,,1,1,1,,
Trip-Level,Transit-related,Smartphone Pilot,transit_access,Transit access mode,transit_access,Transit access mode,,,,,1,,transit_access,Access mode,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,Transit-related,Smartphone Pilot,transit_egress,Transit egress mode,transit_egress,Transit egress mode,,,,,1,,transit_egress,Egress mode,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,Transit-related,NYCDOT Mobility Survery,sustainable_mode,"Mode type is a sustainable mode (walk, bicycle, scooter/moped, or transit)",,,,,,,,,sustainable_mode,"Mode type is a sustainable mode (walk, bicycle, scooter/moped, or transit)",,,,,1,PUBTRANS,Public transportation used on trip,,,,1,O_SERVC | SERVC,"Other, Transit Service | Transit services",,,,1,1,1,,
Trip-Level,Bike-related,Smartphone Pilot,bike_park_location,Bike park location,bike_park_location,Bike park location,,,,,1,,bike_park_location,Bicycle parking location,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,Micromobility-related,Smartphone Pilot,micromobility_devices_scooter,Micromobility devices used by household: Scooter,micromobility_devices_scooter,Micromobility devices used by household: Scooter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Micromobility-related,NYCDOT Mobility Survery,scooter_park_location,Moped or scooter parking location at school,,,,,,,,,scooter_park_location,Moped or scooter parking location at school,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,accuracy,Accuracy ,accuracy,Accuracy ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,bearing,Bearing,bearing,Bearing,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,collect_time,Timestamp collected at (US/Eastern time),collect_time,Timestamp collected at (US/Eastern time),,,,,1,,survey_complete_date,Date and Time Survey Completed,2,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,lat,Latitude,lat,Latitude,,,,,1,,,,,,,,,,,,,,,YCORD,Y Latitude (in WGS 84),,,,1,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,lon,Longitude,lon,Longitude,,,,,1,,,,,,,,,,,,,,,XCORD,X Longitude (in WGS 84),,,,1,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,trip_id,Trip ID,trip_id,Trip ID,,,,,1,,trip_id,Trip ID,,,,,1,TDCASEID,Unique identifier for every trip record in the file,,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,trip_num,Trip number within travel period,trip_num,Trip number within travel period,,,,,1,,trip_num,Trip number,,,,,1,TDTRPNUM,"Incrementing travel day trip number, starting at 1 for each person in the file",,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,trip_survey_complete,Trip survey is complete,trip_survey_complete,Trip survey is complete,,,,,1,,survey_complete,Trip survey completion status,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,unlinked_split,Trip is unlinked,unlinked_split,Trip is unlinked,,,,,1,,unlinked_trip,Trip was unlinked in data processing ,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,linked_trip_id,Trip ID for linked trip,linked_trip_id,Trip ID for linked trip,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,leg_num,Leg number along linked trip,leg_num,Leg number along linked trip,,,,,1,,leg_num,Trip leg number,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,is_egress,Trip flagged as access leg,is_egress,Trip flagged as access leg,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,is_access,Trip flagged as egress leg ,is_access,Trip flagged as egress leg ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,depart_time,Time departed from origin (EST),"depart_hour |
depart_minute |
depart_second","Depart hour |
Depart minute |
Depart seconds",,,,,,,depart_time,Time departed from origin (EST),,,,,1,STRTTIME,Trip Start Time (HHMM),,,,1,DEP_HR | DEP_MIN,Departure Hour | Departure Minute,,,,2,2,2,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,arrive_time,Time arrived at destination (EST),"arrive_hour |
arrive_minute |
arrive_second","Arrive hour |
Arrive minute |
Arrive seconds",,,,,,,arrive_time,Time arrived at destination (EST),,,,,1,ENDTIME,Trip End Time (HHMM),,,,1,"ARR_HR, ARR_MIN","Arrival Hour, Arrival Minute",,,,2,2,2,,
Trip-Level,General trip characteristics,Smartphone Pilot,depart_date,Depart date,depart_date,Depart date,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,arrive_date,Arrive date,arrive_date,Arrive date,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,dwell_minutes,Dwell time at destination (minutes),dwell_minutes,Dwell time at destination (minutes),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,o_lat,Origin latitude,o_lat,Origin latitude,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,o_lon,Origin longitude,o_lon,Origin longitude,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,o_bg,Origin block group,o_bg,Origin block group,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,o_county,Origin county (fips code),o_county,Origin county (fips code),,,,,1,,,,,,,,,,,,,,,CTFIP,County FIPS,1,,,1,,1,1,1
Trip-Level,Census-related,Smartphone Pilot,o_state,Origin state (fips code),o_state,Origin state (fips code),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,o_puma,Origin Public Use Microdata Area (PUMA),o_puma,Origin Public Use Microdata Area (PUMA),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,o_in_region,Origin in study region,o_in_region,Origin in study region,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,o_purpose,Origin purpose,o_purpose,Origin purpose,,,,,1,,o_purpose,Origin purpose (recommend using imputed purpose),,,,,1,WHYFROM,Trip Origin Purpose,,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,o_purpose_category,Origin purpose category,o_purpose_category,Origin purpose category,,,,,1,,o_purpose_category,Origin purpose category (recommend using imputed purpose),,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,d_lat,Destination latitude,d_lat,Destination latitude,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,d_lon,Destination longitude,d_lon,Destination longitude,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,d_bg,Destination block group,d_bg,Destination block group,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,d_county,Destination county (fips code),d_county,Destination county (fips code),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,d_state,Destination state (fips code),d_state,Destination state (fips code),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Census-related,Smartphone Pilot,d_puma,Destination Public Use Microdata Area (PUMA),d_puma,Destination Public Use Microdata Area (PUMA),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,d_in_region,Destination in study region,d_in_region,Destination in study region,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,d_purpose_other_specify,"Destination purpose, other specify",d_purpose_other_specify,"Destination purpose, other specify",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,d_purpose_category,Destination purpose category,d_purpose_category,Destination purpose category,,,,,1,,d_purpose_category,Destination purpose category (recommend using imputed purpose),,,,,1,WHYTO,Trip Destination Purpose,,,,2,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,distance_miles,Trip distance (miles),distance_miles,Trip distance (miles),,,,,1,,trip_distance,Trip distance (miles),,,,,1,"TRPMILES, TRPMILAD","""Trip distance in miles, derived from route geometry returned by Google Maps API, or from reported loop-trip distance"", ""Trip distance in miles, adjusted for comparability to past surveys""",,,,1,TRIPDIST,Trip Distance (Miles),,,,1,1,1,,
Trip-Level,General trip characteristics,Smartphone Pilot,duration_minutes,Trip duration (minutes),duration_minutes,Trip duration (minutes),,,,,1,,trip_duration,Trip duration (minutes),,,,,1,TRVLCMIN,Trip Duration in Minutes,,,,1,TRPDUR | TRPDUR_C,Trip Duration (Minutes) | Trip Duration (minutes) - PB,,,,1,1,1,,
Trip-Level,General trip characteristics,Smartphone Pilot,speed_mph,Speed (mph),speed_mph,Speed (mph),,,,,1,,high_speed_flag,"Unusually high speed, given mode",,,,,2,,,,,,,SPEEDFLAG,Speed Check Flag,,,,2,,,,
Trip-Level,General trip characteristics,None,trip_mode,Trip Mode by Type,"mode_1 |
mode_2 |
mode_3 |
mode_4 |
mode_other_specify","Trip mode 1 |
Trip mode 2 |
Trip mode 3 |
Trip mode 4 |
Trip mode, other specify",,,,,1,,"mode_1 |
mode_2 |
mode_3 |
mode_4","1st of modes selected |
2nd of modes selected |
3rd of modes selected |
4th of modes selected |",,,,,1,,,,,,,ULTMODE,Unlinked Trip Mode,,,,,,2,,
Trip-Level,General trip characteristics,Smartphone Pilot,google_boarding_station,Google suggested boarding station,google_boarding_station,Google suggested boarding station,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,google_alighting_station,Google suggested alighting station,google_alighting_station,Google suggested alighting station,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,taxi_type,Who paid for trip,taxi_type,Who paid for trip,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,taxi_cost,Taxi fare amount,taxi_cost,Taxi fare amount,,,,,1,,taxi_cost_amount,Total taxi fare: Amount,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,micromobility_park_location,Micromobility device park location,micromobility_park_location,Micromobility device park location,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,transit_type,Transit fare payment method,transit_type,Transit fare payment method,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,num_travelers,Number of travelers,num_travelers,Number of travelers,,,,,1,,num_travelers,Number of people in travel party,,,,,1,"NUMONTRP, TRPACCMP, TRPHHACC","Number of people on trip including respondent, Count of People on Trip, Count of Household Members on Trip",,,,1,TOTTR, Total Number of Persons on the Trip,,,,,1,1,1,1
Trip-Level,General trip characteristics,None,hh_member_on_trip,HH Member was on trip,"hh_member_1 |
hh_member_2 |
hh_member_3 |
hh_member_4 |
hh_member_5 |
hh_member_6 |
hh_member_7","Member 1 was on trip |
Member 2 was on trip |
Member 3 was on trip |
Member 4 was on trip |
Member 5 was on trip |
Member 6 was on trip |
Member 7 was on trip",,,,,1,,"hh_member_1 |
hh_member_2 |
hh_member_3 |
hh_member_4 |
hh_member_5 |
hh_member_6 |
hh_member_7 |
hh_member_8 |
hh_member_9 |
hh_member_10 |
hh_member_11 ","Member 1 was on trip |
Member 2 was on trip |
Member 3 was on trip |
Member 4 was on trip |
Member 5 was on trip |
Member 6 was on trip |
Member 7 was on trip |
Member 8 was on trip |
Member 9 was on trip |
Member 10 was on trip |
Member 11 was on trip",,,,,1,"ONTD_P1 |
ONTD_P2 |
ONTD_P3 |
ONTD_P4 |
ONTD_P5 |
ONTD_P6 |
ONTD_P7 |
ONTD_P8 |
ONTD_P9 |
ONTD_P10 |
ONTD_P11","Household Person Identifier on Trip: 1 |
Household Person Identifier on Trip: 2 |
Household Person Identifier on Trip: 3 |
Household Person Identifier on Trip: 4 |
Household Person Identifier on Trip: 5 |
Household Person Identifier on Trip: 6 |
Household Person Identifier on Trip: 7 |
Household Person Identifier on Trip: 8 |
Household Person Identifier on Trip: 9 |
Household Person Identifier on Trip: 10 |
Household Person Identifier on Trip: 11",,,,1,"PER1 |
PER2 |
PER3 |
PER4 |
PER5 ","Person Number on Trip |
Person Number on Trip |
Person Number on Trip |
Person Number on Trip |
Person Number on Trip",,,,1,2,2,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,vehicle_other_specify,"Vehicle make and model, other specify",vehicle_other_specify,"Vehicle make and model, other specify",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,transponder,Vehicle has toll transponder,transponder,Vehicle has toll transponder,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle-related,Smartphone Pilot,vehicle_ownership,Vehicle ownership status,vehicle_ownership,Vehicle ownership status,,,1,,,,,,,,,,,VEHOWNMO,Months of Vehicle Ownership,,,2,2,,,,,,,,,,
Vehicle-Level,Parking-related,None,home_park_amount,Amount paid to park vehicle at home,"home_park_amount_day |
home_park_amount_week |
home_park_amount_month |
home_park_amount_year","Amount paid to park vehicle at home per day |
Amount paid to park vehicle at home per week |
Amount paid to park vehicle at home per month |
Amount paid to park vehicle at home per year",,,1,,,,"home_park_amount_day |
home_park_amount_month |
home_park_amount_week |
home_park_amount_year","Home parking permit/pass payment amount per day |
Home parking permit/pass payment amount per month |
Home parking permit/pass payment amount per week |
Home parking permit/pass payment amount per year",,,1,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,None,ev_typical_charge,Typical Charge location in the last 3 months,"ev_typical_charge_home |
ev_typical_charge_work |
ev_typical_charge_commute |
ev_typical_charge_shopping |
ev_typical_charge_public |
ev_typical_charge_hotel |
ev_typical_charge_other","Typical charge location in the last 3 months: At or near home |
Typical charge location in the last 3 months: At work |
Typical charge location in the last 3 months: At a commute location (e.g., Park and Ride lot, parking garage) |
Typical charge location in the last 3 months: At a shopping location (e.g., grocery store, shopping mall) |
Typical charge location in the last 3 months: At a public location (e.g., hospital, library, government building) |
Typical charge location in the last 3 months: At a hotel/inn |
Typical charge location in the last 3 months: Other",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,None,ev_network,EV charging networks subscribed to,"ev_network_chargepoint |
ev_network_tesla |
ev_network_blink |
ev_network_evgo |
ev_network_semaconnect |
ev_network_greenlots |
ev_network_none |
ev_network_other","EV charging networks subscribed to: ChargePoint |
EV charging networks subscribed to: Tesla |
EV charging networks subscribed to: Blink |
EV charging networks subscribed to: EVgo |
EV charging networks subscribed to: SemaConnect |
EV charging networks subscribed to: Greenlots |
EV charging networks subscribed to: None |
EV charging networks subscribed to: Other",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,Survey-related,Smartphone Pilot,first_travel_date,Travel period start,first_travel_date,Travel period start,1,,,,,,first_travel_date,First travel date,1,1,,,,,,,,,,,,,,,,,,,
Household-Level,Survey-related,Smartphone Pilot,last_travel_date,Travel period end,last_travel_date,Travel period end,1,,,,,,last_travel_date,Last travel date,1,1,,,,,,,,,,,,,,,,,,,
Household-Level,Survey-related,Smartphone Pilot,sample_segment,Sampling segment,sample_segment,Sampling segment,1,,,,,,,,,,,,,SAMPSTRAT,Primary Sampling Stratum Assignment,1,,,,BIN,Sampling Bin,1,,,,,,,
Household-Level,Household Characteristics,Smartphone Pilot,num_workers,Number of workers in household,num_workers,Number of workers in household,1,,,,,,num_workers,Number of workers in household,1,,,,,WRKCOUNT,Number of workers in household,1,1,1,1,HHWRK,Number of Household Workers (Computed),1,,,,,,,
Household-Level,Survey-related,Smartphone Pilot,complete_day,Day completion status,"complete_mon |
complete_tue |
complete_wed |
complete_thu |
complete_fri |
complete_sat |
complete_sun","Monday completion status |
Tuesday completion status |
Wednesday completion status |
Thursday completion status |
Friday completion status |
Saturday completion status |
Sunday completion status",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,General housing characteristics,Smartphone Pilot,sample_home_lat,Sample home latitude,sample_home_lat,Sample home latitude,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,General housing characteristics,Smartphone Pilot,sample_home_lon,Sample home longitude,sample_home_lon,Sample home longitude,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,Census-related,Smartphone Pilot,sample_home_bg,Sample home block group,sample_home_bg,Sample home block group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,Census-related,Smartphone Pilot,sample_home_county,Sample home county (fips code),sample_home_county,Sample home county (fips code),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,Census-related,Smartphone Pilot,sample_home_state,Sample home state (fips code),sample_home_state,Sample home state (fips code),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,General housing characteristics,Smartphone Pilot,home_lat,Reported home latitude,home_lat,Reported home latitude,1,,,,,,,,,,,,,,,,,,,HYCORD,Home Y Latitude (in WGS 84),1,,,,1,1,,
Household-Level,General housing characteristics,Smartphone Pilot,home_lon,Reported home longitude,home_lon,Reported home longitude,1,,,,,,,,,,,,,,,,,,,HXCORD,Home X Longitude (in WGS 84),1,,,,1,1,,
Household-Level,Census-related,Smartphone Pilot,home_bg,Reported home block group,home_bg,Reported home block group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,Census-related,Smartphone Pilot,home_county,Reported home county (fips code),home_county,Reported home county (fips code),1,,,,,,,,,,,,,,,,,,,HCOUNTY,Home County,,,,,2,2,2,
Household-Level,Census-related,Smartphone Pilot,home_state,Reported home state (fips code),home_state,Reported home state (fips code),1,,,,,,,,,,,,,,,,,,,HSTATE,Home State,2,,,,,2,2,2
Household-Level,General housing characteristics,Smartphone Pilot,home_in_region,Reported home in region,home_in_region,Reported home in region,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household-Level,Household Characteristics,Smartphone Pilot,income_aggregate,Household income (aggregate categories),income_aggregate,Household income (aggregate categories),1,,,,,,income_aggregate,Household's total annual income: aggregate categories,1,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Bike-related,None,bike_type,Bicycle type,"bike_type_standard |
bike_type_electric |
bike_type_other","Bicycle type: Standard bicycle |
Bicycle type: Electric bicycle |
Bicycle type: Other bicycle",1,,,,,,"bicycle_type_standard |
bicycle_type_electric |
bicycle_type_other","Bicycle type: Standard bicycle |
Bicycle type: Pedal-assist electric bicycle |
Bicycle type: Other",1,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Bike-related,None,bike_store,Bicycle storage location,"bike_store_inside |
bike_store_rack |
bike_store_locker |
bike_store_room |
bike_store_locked |
bike_store_lot |
bike_store_unlocked |
bike_store_other","Bicycle storage location: Inside house/apartment (includes garage, porch, storage area) |
Bicycle storage location: Bike rack |
Bicycle storage location: Bike locker |
Bicycle storage location: Secured bike room |
Bicycle storage location: Locked to other object (e.g., post, tree) |
Bicycle storage location: In a parking garage/lot |
Bicycle storage location: Unlocked on-street |
Bicycle storage location: Other",1,,,,,,"bicycle_store_house |
bicycle_store_rack |
bicycle_store_locker |
bicycle_store_secured_bike_room |
bicycle_store_object |
bicycle_store_garage |
bicycle_store_street |
bicycle_store_other","Where bicycle is stored: In my house/apartment (includes garage, porch, storage area) |
Where bicycle is stored: Bike rack |
Where bicycle is stored: Bike locker |
Where bicycle is stored: Secured bike room |
Where bicycle is stored: Locked to other object (e.g., sign post, fence, tree) |
Where bicycle is stored: In a parking garage/lot |
Where bicycle is stored: Unlocked on-street (e.g., dockless) |
Bicycle storage type: Other",1,,,,,,,,,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,bike_stolen,Has had a bicycle stolen in New York City in the past year,,,,,,,,,bike_stolen,Has had a bicycle stolen in New York City in the past year,,1,,,,,,,,,,,,,,,,,,,
